YEAR,STATE GEO,COUNTY GEO,COUNTY NAME,CITY/TOWN GEOID,CITY/TOWN NAME,NO. OF RENTER HOUSEHOLDS,NO. OF ELI HOUSEHOLDS,NO. OF ELI RENT BURDENED (30%),NO. OF ELI SEVERELY RENT BURDENED (50%),UNITS: AFFORDABLE,NO. UNITS: AFFORDABLE AND OCCUPIED BY ELI,NO. UNITS: AFFORDABLE AND VACANT,NO. UNITS: AFFORDABLE AND OCCUPIED BY VLI,NO. UNITS: AFFORDABLE AND OCCUPIED BY LI,NO. UNITS: AFFORDABLE AND OCCUPIED BY HI,NO. UNITS: AFFORDABLE AND AVAILABLE,AA UNITS PER 100 ELI HOUSEHOLDS,NO. OF TOTAL AA SUBSIDIZED UNITS,MARKET AA UNITS PER 100 ELI HOUSEHOLDS
2016,25,27,Worcester County,46820,Northborough ,897.6,132.5,114.0,96.4,96.0,40.5,3.8,22.1,8.9,24.5,44.4,33.5,16.0,21.4
2016,25,27,Worcester County,46925,Northbridge ,2146.4,436.7,377.9,286.2,340.4,148.1,0.0,59.3,55.3,77.8,148.1,33.9,120.6,6.3
2016,25,11,Franklin County,47835,Northfield ,290.4,71.8,56.9,43.3,53.3,29.8,0.5,10.9,4.2,8.2,30.4,42.3,5.9,34.0
2016,25,5,Bristol County,49970,Norton ,1196.7,296.9,248.7,168.9,227.7,137.7,0.0,34.8,28.8,26.4,137.7,46.4,115.7,7.4
2016,25,23,Plymouth County,50145,Norwell ,282.4,85.9,65.7,51.8,65.2,33.7,0.0,15.9,1.8,13.8,33.7,39.2,1.8,37.1
2016,25,21,Norfolk County,50250,Norwood ,4930.0,1443.7,1116.9,783.4,1203.0,787.4,9.0,190.8,73.9,150.8,796.4,55.2,306.5,33.9
2016,25,7,Dukes County,50390,Oak Bluffs ,409.4,95.7,70.5,47.9,92.2,49.6,3.9,10.3,14.0,18.3,53.4,55.8,53.2,0.3
2016,25,27,Worcester County,50670,Oakham ,36.6,8.4,7.0,4.3,7.1,3.9,0.0,1.2,0.7,1.3,3.9,46.6,0.0,46.6
2016,25,11,Franklin County,51265,Orange ,1028.3,254.3,201.4,153.4,188.6,105.7,1.1,38.7,15.0,29.2,106.7,42.0,166.5,0.0
2016,25,1,Barnstable County,51440,Orleans ,677.6,158.4,116.7,79.3,152.6,82.0,1.2,17.0,23.2,30.3,83.3,52.6,50.8,20.5
2016,25,3,Berkshire County,51580/59665,Otis/Sandisfield,113.5,37.1,29.7,20.5,28.7,16.3,0.4,5.1,2.9,4.4,16.7,45.1,0.0,45.1
2016,25,27,Worcester County,51825,Oxford ,1506.0,306.4,265.1,200.8,238.9,103.9,0.0,41.6,38.8,54.6,103.9,33.9,117.6,0.0
2016,25,13,Hampden County,52144,Palmer  ,1302.4,375.1,308.7,207.6,281.6,167.7,14.7,30.1,23.5,60.2,182.4,48.6,141.2,11.0
2016,25,27,Worcester County,52420,Paxton ,142.4,32.6,27.4,16.7,27.5,15.2,1.0,4.6,2.7,5.0,16.2,49.7,3.1,40.1
2016,25,9,Essex County,52490,Peabody ,7544.3,1913.8,1471.4,1245.7,1374.9,750.2,0.0,221.5,200.0,203.2,750.2,39.2,573.9,9.2
2016,25,15,Hampshire County,52560,Pelham ,89.1,22.0,17.5,13.3,16.3,9.2,0.2,3.4,1.3,2.5,9.3,42.3,2.7,30.1
2016,25,23,Plymouth County,52630,Pembroke ,834.6,253.8,194.1,153.0,192.8,99.5,38.3,47.1,5.4,40.7,137.8,54.3,50.9,34.2
2016,25,17,Middlesex County,52805,Pepperell ,938.0,204.9,172.1,126.2,169.0,87.6,7.4,14.5,10.0,56.9,95.0,46.4,32.1,30.7
2016,25,3,Berkshire County,53050/80685,Peru/Windsor,30.2,9.9,7.9,5.5,7.6,4.3,0.0,1.4,0.8,1.2,4.3,44.0,0.0,44.0
2016,25,27,Worcester County,53120/53225,Petersham/Phillipston,114.1,23.9,19.3,16.6,27.5,9.2,1.7,5.6,4.4,8.4,10.8,45.2,0.0,45.2
2016,25,3,Berkshire County,53960,Pittsfield ,7792.9,2545.6,2039.8,1408.4,1971.2,1119.5,31.5,352.8,197.9,301.0,1151.0,45.2,998.5,6.0
2016,25,21,Norfolk County,54100,Plainville ,884.4,211.8,169.8,121.9,146.2,75.3,14.9,26.3,13.5,31.1,90.2,42.6,42.1,22.7
2016,25,23,Plymouth County,54310,Plymouth ,4960.9,1355.3,1101.4,856.8,933.0,509.8,47.4,159.7,54.8,208.8,557.2,41.1,436.4,8.9
2016,25,23,Plymouth County,54415,Plympton ,139.1,37.0,30.0,23.8,31.4,13.7,1.7,8.6,2.3,6.8,15.4,41.6,24.1,0.0
2016,25,27,Worcester County,55395,Princeton ,139.8,29.3,23.7,20.3,33.7,11.2,0.0,6.8,5.4,10.3,11.2,38.3,13.5,0.0
2016,25,1,Barnstable County,55500,Province ,608.5,142.2,104.8,71.2,137.0,73.7,7.1,15.2,20.9,27.2,80.8,56.8,34.8,32.4
2016,25,21,Norfolk County,55745,Quincy ,21567.4,5475.9,4541.5,3652.8,3187.9,2152.0,11.4,368.9,227.3,439.7,2163.4,39.5,1824.8,6.2
2016,25,21,Norfolk County,55955,Randolph ,3817.0,1117.7,864.8,606.5,931.4,609.7,27.8,147.8,57.2,116.8,637.5,57.0,527.1,9.9
2016,25,5,Bristol County,56060,Raynham ,1148.7,359.6,292.5,195.1,272.1,166.1,3.8,36.0,22.7,47.4,169.9,47.2,70.5,27.6
2016,25,17,Middlesex County,56130,Reading ,1919.3,486.9,374.3,316.9,349.8,190.8,0.0,56.3,50.9,51.7,190.8,39.2,143.3,9.8
2016,25,5,Bristol County,56375,Rehoboth ,339.9,61.7,52.2,41.7,43.8,17.9,0.0,10.7,4.6,10.6,17.9,29.0,3.1,23.9
2016,25,25,Suffolk County,56585,Revere ,10369.0,3310.0,2595.6,2035.8,2078.3,1509.3,40.8,234.6,103.4,231.0,1550.1,46.8,860.9,20.8
2016,25,23,Plymouth County,57600,Rochester ,193.7,51.3,38.2,30.1,43.1,22.8,0.0,9.1,4.5,6.8,22.8,44.4,0.0,44.4
2016,25,23,Plymouth County,57775,Rockland ,1907.2,413.7,271.3,164.7,341.9,222.9,34.5,50.7,39.1,29.2,257.4,62.2,186.8,17.1
2016,25,9,Essex County,57880,Rockport ,1022.1,309.0,247.8,173.9,215.9,144.4,1.9,34.3,12.7,24.5,146.3,47.3,57.9,28.6
2016,25,9,Essex County,58405,Rowley ,392.6,118.7,95.2,66.8,82.9,55.5,4.2,13.2,4.9,9.4,59.7,50.3,19.3,34.0
2016,25,27,Worcester County,58580/80405,Royalston/Winchendon,238.5,50.0,40.3,34.6,57.5,19.2,0.0,11.6,9.2,17.5,19.2,38.3,2.0,34.3
2016,25,27,Worcester County,58825,Rutland ,390.7,89.5,75.1,45.9,75.5,41.7,0.0,12.7,7.5,13.7,41.7,46.6,36.5,5.8
2016,25,9,Essex County,59105,Salem ,9614.9,2906.3,2330.8,1636.2,2030.6,1358.6,40.7,322.4,119.4,230.3,1399.2,48.1,1056.3,11.8
2016,25,9,Essex County,59245,Salisbury ,915.3,276.7,221.9,155.8,193.3,129.3,8.5,30.7,11.4,21.9,137.8,49.8,70.7,24.3
2016,25,1,Barnstable County,59735,Sandwich ,1106.8,266.0,208.4,159.0,253.1,112.2,12.2,35.2,33.1,72.6,124.4,46.8,70.6,20.2
2016,25,9,Essex County,60015,Saugus ,2153.1,514.1,407.2,310.9,385.2,244.5,13.0,52.3,49.3,39.0,257.5,50.1,293.3,0.0
2016,25,23,Plymouth County,60330,Scituate ,1005.0,274.5,223.1,173.6,189.0,103.3,0.0,32.3,11.1,42.3,103.3,37.6,89.7,5.0
2016,25,5,Bristol County,60645,Seekonk ,716.5,130.0,110.1,88.0,92.4,37.7,0.0,22.6,9.7,22.4,37.7,29.0,2.7,26.9
2016,25,21,Norfolk County,60785,Sharon ,855.5,198.5,147.8,105.3,179.4,107.4,0.0,34.7,14.0,23.2,107.4,54.1,94.8,6.3
2016,25,3,Berkshire County,61065,Sheffield ,279.1,91.2,73.1,50.4,70.6,40.1,0.0,12.6,7.1,10.8,40.1,44.0,0.4,43.5
2016,25,17,Middlesex County,61380,Sherborn ,107.3,25.9,16.1,11.8,33.4,16.6,0.0,3.6,3.0,10.2,16.6,64.1,0.4,62.4
2016,25,17,Middlesex County,61590,Shirley ,743.3,175.8,135.4,111.5,214.3,74.3,0.0,42.5,39.7,57.8,74.3,42.3,43.0,17.8
2016,25,27,Worcester County,61800,Shrewsbury ,3451.4,509.6,438.4,370.5,369.2,155.9,67.3,84.9,34.1,94.3,223.2,43.8,70.5,30.0
2016,25,5,Bristol County,62430,Somerset ,1326.1,455.0,378.9,290.4,329.2,189.6,0.0,50.5,44.6,44.5,189.6,41.7,12.2,39.0
2016,25,17,Middlesex County,62535,Somerville ,21099.8,4525.0,3684.9,2978.2,2691.2,1746.9,61.4,260.6,180.0,503.8,1808.3,40.0,1499.5,6.8
2016,25,15,Hampshire County,64145,South Hadley ,1848.7,532.4,438.2,294.7,399.7,238.0,4.3,42.8,33.4,85.5,242.3,45.5,61.4,34.0
2016,25,15,Hampshire County,62745,Southampton ,259.3,74.7,61.5,41.3,56.0,33.4,0.0,6.0,4.7,12.0,33.4,44.7,31.8,2.2
2016,25,27,Worcester County,63165,Southborough ,358.8,96.5,77.3,60.2,71.7,40.9,0.0,12.6,1.5,16.7,40.9,42.4,1.6,40.8
2016,25,27,Worcester County,63345,Southbridge  ,3938.6,801.3,693.4,525.1,624.7,271.8,0.0,108.8,101.4,142.7,271.8,33.9,284.6,0.0
