year,date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description,wzz,wzz_add,_mtime,dateId
2020,05.25,中国,湖北,68135,4512,63617,0,,,,,0,0,0,,0,0,2020-05-25T00:57:26Z,2020-05
2020,05.26,中国,湖北,68135,4512,63618,0,,,,,0,1,0,,0,0,2020-05-26T00:48:09Z,2020-05
2020,05.27,中国,湖北,68135,4512,63618,0,,,,,0,0,0,,0,0,2020-05-27T00:46:58Z,2020-05
2020,05.28,中国,湖北,68135,4512,63618,0,,,,,0,0,0,,0,0,2020-05-28T00:19:45Z,2020-05
2020,05.29,中国,湖北,68135,4512,63619,0,,,,,0,1,0,,0,0,2020-05-28T23:53:29Z,2020-05
2020,05.30,中国,湖北,68135,4512,63619,0,,,,,0,0,0,,0,0,2020-05-30T01:07:25Z,2020-05
2020,05.31,中国,湖北,68135,4512,63620,0,,,,,0,1,0,,0,0,2020-05-31T00:35:58Z,2020-05
2020,06.01,中国,湖北,68135,4512,63620,0,,,,,0,0,0,,0,0,2020-06-01T00:59:02Z,2020-06
2020,06.02,中国,湖北,68135,4512,63620,0,,,,,0,0,0,,0,0,2020-06-02T00:52:08Z,2020-06
2020,06.03,中国,湖北,68135,4512,63620,0,,,,,0,0,0,,0,0,2020-06-03T01:42:01Z,2020-06
2020,06.04,中国,湖北,68135,4512,63623,0,,,,,0,3,0,,0,0,2020-06-04T00:31:58Z,2020-06
2020,06.05,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-05T00:40:40Z,2020-06
2020,06.06,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-06T01:07:33Z,2020-06
2020,06.07,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-07T01:36:27Z,2020-06
2020,06.08,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-08T00:53:02Z,2020-06
2020,06.09,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-09T06:25:42Z,2020-06
2020,06.10,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-10T00:33:20Z,2020-06
2020,06.11,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-11T00:56:01Z,2020-06
2020,06.12,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-12T03:56:19Z,2020-06
2020,06.13,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-13T01:29:55Z,2020-06
2020,06.14,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-14T02:15:54Z,2020-06
2020,06.15,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-15T01:25:10Z,2020-06
2020,06.16,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-16T00:37:09Z,2020-06
2020,06.17,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-17T02:39:35Z,2020-06
2020,06.18,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-18T01:03:36Z,2020-06
2020,06.19,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-19T02:03:45Z,2020-06
2020,06.20,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-20T01:21:37Z,2020-06
2020,06.21,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-21T03:07:46Z,2020-06
2020,06.22,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-22T02:06:57Z,2020-06
2020,06.23,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-23T01:25:17Z,2020-06
2020,06.24,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-24T00:57:32Z,2020-06
2020,06.25,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-25T01:00:56Z,2020-06
2020,06.26,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-26T01:25:19Z,2020-06
2020,06.27,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-27T01:26:57Z,2020-06
2020,06.28,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-28T00:52:51Z,2020-06
2020,06.29,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-29T01:16:05Z,2020-06
2020,06.30,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-06-30T00:55:57Z,2020-06
2020,07.01,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-01T00:48:23Z,2020-07
2020,07.02,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-02T00:44:10Z,2020-07
2020,07.03,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-03T02:18:08Z,2020-07
2020,07.04,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-04T00:59:45Z,2020-07
2020,07.05,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-05T01:23:29Z,2020-07
2020,07.06,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-06T00:51:19Z,2020-07
2020,07.07,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-07T01:04:15Z,2020-07
2020,07.08,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-08T01:01:49Z,2020-07
2020,07.09,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-09T01:16:54Z,2020-07
2020,07.10,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-10T00:53:25Z,2020-07
2020,07.11,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-11T01:09:35Z,2020-07
2020,07.12,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-12T00:48:29Z,2020-07
2020,07.13,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-13T01:02:41Z,2020-07
2020,07.14,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-14T01:12:23Z,2020-07
2020,07.15,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-15T00:34:49Z,2020-07
